Date(s) conducted,Pollster/client(s),Area,Sample size,Con,Lab,LD,SNP,UKIP,Grn,PC,Brx,Chg,Others,Lead
14–21 May,Panelbase/The Sunday Times,GB,2033,21%,31%,13%,4%,3%,5%,0%,19%,4%,0%,10
17–20 May,Opinium Archived 16 September 2019 at the Wayback Machine,GB,2005,22%,26%,12%,4%,2%,4%,1%,25%,2%,0%,1
17 May,Survation/Daily Mail,UK,1000,27%,32%,13%,5%,2%,3%,0%,13%,2%,4%,5
8–17 May,YouGov/Best for Britain/Hope Not Hate,GB,9260,24%,24%,18%,4%,2%,6%,1%,18%,2%,1%,Tie
14–16 May,Opinium/The Observer Archived 9 July 2019 at the Wayback Machine,GB,2009,22%,29%,11%,4%,2%,3%,0%,24%,3%,1%,5
13–14 May,YouGov/The Times,GB,1655,25%,25%,16%,5%,5%,5%,5%,18%,2%,1%,Tie
10–14 May,Ipsos MORI,GB,1072,25%,27%,15%,4%,3%,7%,1%,16%,2%,1%,2
9–13 May,Hanbury Strategy/Politico Archived 26 June 2019 at the Wayback Machine,GB,2000,21%,30%,13%,4%,2%,5%,–,19%,6%,1%,9
9–13 May,Kantar Archived 25 May 2019 at the Wayback Machine,GB,1152,25%,34%,15%,5%,4%,3%,2%,10%,1%,2%,9
10–12 May,ComRes/The Daily Telegraph,GB,2028,20%,27%,13%,3%,4%,4%,0%,20%,6%,1%,7
8–10 May,Opinium/The Observer Archived 16 September 2019 at the Wayback Machine,GB,2004,22%,28%,11%,4%,4%,6%,0%,21%,4%,0%,6
7–10 May,BMG/The Independent,GB,1541,27%,30%,18%,2%,3%,6%,0%,10%,3%,1%,3
9 May,ComRes/Brexit Express,GB,2034,19%,27%,14%,3%,3%,5%,1%,20%,7%,1%,8
8–9 May,YouGov/The Times,GB,2212,24%,24%,16%,5%,5%,5%,5%,18%,2%,1%,Tie
3–7 May,Opinium/People's Vote,GB,2000,25%,30%,11%,3%,4%,5%,1%,17%,2%,1%,5
2 May,Local elections in England and Northern Ireland[12][13],Local elections in England and Northern Ireland[12][13],Local elections in England and Northern Ireland[12][13],Local elections in England and Northern Ireland[12][13],Local elections in England and Northern Ireland[12][13],Local elections in England and Northern Ireland[12][13],Local elections in England and Northern Ireland[12][13],Local elections in England and Northern Ireland[12][13],Local elections in England and Northern Ireland[12][13],Local elections in England and Northern Ireland[12][13],Local elections in England and Northern Ireland[12][13],Local elections in England and Northern Ireland[12][13],Local elections in England and Northern Ireland[12][13],Local elections in England and Northern Ireland[12][13]
29–30 Apr,YouGov,GB,1630,29%,29%,13%,4%,4%,4%,4%,15%,3%,1%,Tie
23–24 Apr,YouGov/The Times,GB,1787,27%,30%,11%,5%,5%,5%,5%,14%,3%,1%,3
18–24 Apr,Panelbase/The Sunday Times,GB,2030,27%,36%,8%,4%,5%,3%,–,13%,4%,1%,9
21–23 Apr,Opinium/The Observer Archived 17 May 2019 at the Wayback Machine,GB,2004,26%,33%,6%,5%,4%,4%,1%,17%,4%,1%,7
16–17 Apr,ORB/The Daily Telegraph,UK,1546,26%,29%,8%,4%,5%,4%,1%,14%,5%,4%[c],3
16–17 Apr,YouGov/The Times,GB,1755,29%,30%,10%,5%,5%,5%,5%,12%,3%,2%,1
16 Apr,ComRes/Brexit Express Archived 15 December 2019 at the Wayback Machine,GB,1061,23%,33%,7%,3%,5%,3%,1%,14%,9%,1%,10
9–12 Apr,Opinium/The Observer Archived 16 September 2019 at the Wayback Machine,GB,2007,29%,36%,8%,5%,11%,4%,1%,–,–,6%,7
10–11 Apr,YouGov/The Times,GB,1843,28%,32%,11%,5%,5%,5%,5%,8%,3%,2%,4
5–8 Apr,Hanbury Strategy/Open Europe Archived 8 March 2021 at the Wayback Machine,GB,2000,31%,40%,8%,4%,8%,5%,1%,–,–,4%,9
4–8 Apr,Kantar Archived 26 June 2019 at the Wayback Machine,GB,1172,32%,35%,11%,5%,7%,4%,1%,–,–,6%,3
3–8 Apr,Survation,E+W,6062,37%,41%,10%,–,7%,2%,1%,–,1%,2%,4
5–7 Apr,ComRes/The Daily Telegraph Archived 15 December 2019 at the Wayback Machine,GB,2018,32%,32%,7%,3%,9%,3%,0%,–,9%,3%,Tie
2–5 Apr,BMG/The Independent,GB,1500,29%,31%,8%,3%,7%,4%,1%,6%,8%,1%,2
2–5 Apr,BMG/The Independent,GB,1500,35%,34%,11%,4%,6%,5%,1%,–,–,3%,1
4 Apr,Newport West by-election (Lab hold)[8],Newport West by-election (Lab hold)[8],Newport West by-election (Lab hold)[8],Newport West by-election (Lab hold)[8],Newport West by-election (Lab hold)[8],Newport West by-election (Lab hold)[8],Newport West by-election (Lab hold)[8],Newport West by-election (Lab hold)[8],Newport West by-election (Lab hold)[8],Newport West by-election (Lab hold)[8],Newport West by-election (Lab hold)[8],Newport West by-election (Lab hold)[8],Newport West by-election (Lab hold)[8],Newport West by-election (Lab hold)[8]
2–3 Apr,YouGov/The Times,GB,1771,32%,31%,12%,6%,6%,6%,6%,5%,–,3%,1
28–30 Mar,Deltapoll/The Mail on Sunday,GB,1010,32%,35%,7%,2%,6%,2%,1%,6%,9%,1%,3
28–30 Mar,Deltapoll/The Mail on Sunday,GB,1010,36%,41%,7%,3%,7%,3%,1%,–,–,3%,5
28–29 Mar,Opinium/The Observer Archived 16 May 2019 at the Wayback Machine,GB,2008,35%,35%,9%,4%,9%,5%,0%,–,–,3%,Tie
24–25 Mar,YouGov/The Times,GB,2110,36%,33%,11%,5%,5%,5%,5%,5%,–,2%,3
22–24 Mar,ComRes/Leave Means Leave Archived 31 March 2019 at the Wayback Machine,GB,2030,33%,33%,8%,3%,7%,3%,1%,–,9%,3%,Tie
20–22 Mar,Opinium/The Observer Archived 16 September 2019 at the Wayback Machine,GB,2002,36%,35%,7%,5%,9%,4%,1%,–,–,3%,1
20–21 Mar,ComRes/Daily Express Archived 15 December 2019 at the Wayback Machine,GB,2063,34%,35%,8%,3%,7%,4%,1%,–,6%,3%,1
15–19 Mar,Ipsos MORI,GB,1050,38%,34%,8%,5%,7%,4%,1%,1%,2%,0%,4
15–17 Mar,ComRes/The Daily Telegraph Archived 15 December 2019 at the Wayback Machine,GB,2033,34%,35%,8%,3%,6%,3%,1%,–,7%,3%,1
15 Mar,Survation/Daily Mail,UK,1007,35%,39%,10%,3%,–,–,0%,–,–,12%,4
14–15 Mar,YouGov/People's Vote,GB,1823,35%,33%,11%,–,–,–,–,–,–,21%,2
14–15 Mar,YouGov/The Times,GB,1756,35%,31%,12%,4%,4%,4%,4%,4%,–,2%,4
13–15 Mar,Opinium/The Observer Archived 16 September 2019 at the Wayback Machine,GB,2003,35%,35%,7%,5%,8%,4%,0%,–,4%,2%,Tie
12–15 Mar,Opinium/The Observer Archived 16 September 2019 at the Wayback Machine,GB,2008,38%,34%,8%,5%,8%,3%,1%,–,–,3%,4
7–11 Mar,Kantar Archived 7 September 2019 at the Wayback Machine,GB,1152,41%,31%,8%,5%,6%,6%,0%,–,–,2%,10
4–8 Mar,BMG/The Independent,GB,1510,37%,31%,10%,3%,6%,5%,1%,–,5%,1%,6
4–8 Mar,BMG/The Independent,GB,1510,39%,34%,12%,3%,5%,4%,1%,–,–,2%,5
4–5 Mar,ComRes/Brexit Express Archived 5 January 2020 at the Wayback Machine,GB,2042,36%,34%,8%,3%,6%,3%,0%,–,8%,2%,2
3–4 Mar,YouGov/The Times,GB,2172,40%,31%,11%,5%,5%,5%,5%,3%,–,3%,9
26 Feb – 1 Mar,Opinium/The Observer Archived 16 September 2019 at the Wayback Machine,GB,2004,37%,33%,7%,4%,7%,4%,1%,–,5%,2%,4
26 Feb – 1 Mar,Opinium/The Observer Archived 16 September 2019 at the Wayback Machine,GB,2003,40%,34%,9%,4%,7%,3%,1%,–,–,3%,6
22–23 Feb,YouGov/The Times,GB,1672,41%,30%,10%,5%,5%,5%,5%,2%,–,3%,11
22–23 Feb,YouGov/The Times,GB,1672,36%,23%,6%,–,–,–,–,–,18%,16%,13
21–23 Feb,Deltapoll/The Mail on Sunday,GB,1027,39%,31%,5%,5%,4%,3%,0%,–,11%,1%,8
21–23 Feb,Deltapoll/The Mail on Sunday,GB,1027,43%,36%,6%,4%,5%,3%,0%,–,–,2%,7
20–22 Feb,Opinium/The Observer Archived 9 July 2019 at the Wayback Machine,GB,2008,40%,32%,5%,4%,7%,4%,1%,–,6%,2%,8
19 Feb,Sky Data,UK,1034,32%,26%,9%,4%,6%,4%,1%,–,10%,7%,6
18–19 Feb,YouGov/The Times,GB,1861,38%,26%,7%,–,–,–,–,–,14%,15%,12
18–19 Feb,YouGov/The Times,GB,1861,41%,33%,10%,5%,5%,5%,5%,–,–,3%,8
18 Feb,Survation/Daily Mail,UK,1023,40%,36%,10%,3%,5%,2%,–,–,–,5%,4
18 Feb,"Eight Labour MPs, soon joined by three Conservatives, quit their parties to form Change UK[14]","Eight Labour MPs, soon joined by three Conservatives, quit their parties to form Change UK[14]","Eight Labour MPs, soon joined by three Conservatives, quit their parties to form Change UK[14]","Eight Labour MPs, soon joined by three Conservatives, quit their parties to form Change UK[14]","Eight Labour MPs, soon joined by three Conservatives, quit their parties to form Change UK[14]","Eight Labour MPs, soon joined by three Conservatives, quit their parties to form Change UK[14]","Eight Labour MPs, soon joined by three Conservatives, quit their parties to form Change UK[14]","Eight Labour MPs, soon joined by three Conservatives, quit their parties to form Change UK[14]","Eight Labour MPs, soon joined by three Conservatives, quit their parties to form Change UK[14]","Eight Labour MPs, soon joined by three Conservatives, quit their parties to form Change UK[14]","Eight Labour MPs, soon joined by three Conservatives, quit their parties to form Change UK[14]","Eight Labour MPs, soon joined by three Conservatives, quit their parties to form Change UK[14]","Eight Labour MPs, soon joined by three Conservatives, quit their parties to form Change UK[14]","Eight Labour MPs, soon joined by three Conservatives, quit their parties to form Change UK[14]"
13–15 Feb,Opinium/The Observer Archived 16 September 2019 at the Wayback Machine,GB,2005,37%,37%,8%,4%,7%,4%,0%,–,–,2%,Tie
7–11 Feb,Kantar[permanent dead link],GB,1145,40%,35%,10%,4%,3%,4%,1%,–,–,3%,5
4–8 Feb,BMG,GB,1503,38%,35%,13%,3%,5%,5%,1%,–,–,1%,3
2–7 Feb,YouGov/The Times,GB,40119,39%,34%,11%,3%,5%,4%,1%,–,–,2%,5
5 Feb,The Brexit Party is registered with the Electoral Commission[15],The Brexit Party is registered with the Electoral Commission[15],The Brexit Party is registered with the Electoral Commission[15],The Brexit Party is registered with the Electoral Commission[15],The Brexit Party is registered with the Electoral Commission[15],The Brexit Party is registered with the Electoral Commission[15],The Brexit Party is registered with the Electoral Commission[15],The Brexit Party is registered with the Electoral Commission[15],The Brexit Party is registered with the Electoral Commission[15],The Brexit Party is registered with the Electoral Commission[15],The Brexit Party is registered with the Electoral Commission[15],The Brexit Party is registered with the Electoral Commission[15],The Brexit Party is registered with the Electoral Commission[15],The Brexit Party is registered with the Electoral Commission[15]
1–5 Feb,Ipsos MORI,GB,1005,38%,38%,10%,4%,4%,3%,1%,–,–,3%,Tie
3–4 Feb,YouGov/The Times,GB,1851,41%,34%,10%,4%,4%,4%,0%,–,–,2%,7
30 Jan – 1 Feb,Opinium/The Observer Archived 12 December 2019 at the Wayback Machine,GB,2008,41%,34%,8%,4%,7%,4%,1%,–,–,1%,7
30 Jan,Survation/Daily Mail,UK,1029,38%,39%,9%,3%,4%,2%,0%,–,–,4%,1
23–25 Jan,Opinium/People's Vote,GB,2001,40%,36%,7%,3%,7%,4%,0%,–,–,1%,4
16–18 Jan,ICM,GB,2046,39%,40%,9%,3%,5%,3%,0%,–,–,1%,1
16–18 Jan,Opinium/The Observer Archived 10 December 2019 at the Wayback Machine,GB,2006,37%,40%,7%,5%,7%,4%,1%,–,–,1%,3
16–17 Jan,ComRes/Sunday Mirror/Sunday Express Archived 15 December 2019 at the Wayback Machine,GB,2031,38%,37%,10%,3%,6%,3%,1%,–,–,1%,1
10–17 Jan,Number Cruncher Politics,UK,1030,41%,39%,8%,3%,4%,2%,1%,–,–,1%,2
14–15 Jan,ComRes/Daily Express Archived 15 December 2019 at the Wayback Machine,GB,2010,37%,39%,8%,3%,7%,3%,0%,–,–,1%,2
13–14 Jan,YouGov/The Times,GB,1701,39%,34%,11%,4%,6%,4%,1%,–,–,1%,5
10–14 Jan,Kantar Archived 26 June 2019 at the Wayback Machine,GB,1106,35%,38%,9%,4%,6%,4%,1%,–,–,3%,3
10–11 Jan,Survation/Daily Mail,UK,1013,38%,41%,10%,3%,4%,2%,0%,–,–,3%,3
8–11 Jan,BMG/The Independent,GB,1514,36%,36%,12%,3%,6%,5%,1%,–,–,1%,Tie
6–7 Jan,YouGov/The Times,GB,1656,41%,35%,11%,4%,4%,3%,0%,–,–,1%,6
21 Dec 2018 – 4 Jan 2019,YouGov/People's Vote,UK,25537,40%,34%,10%,4%,4%,4%,0%,–,–,2%,6
