Dates conducted,Pollster,Client,Area,Sample size,Con,Lab,LD,SNP,Grn,Ref,PC,Others,Lead
20–21 Mar,Techne Archived 13 April 2024 at the Wayback Machine,,GB,1632,22%,43%,10%,3%,6%,13%,–,3%,21
19–20 Mar,More in Common,,GB,2027,25%,43%,11%,3%,5%,11%,1%,1%,18
19–20 Mar,YouGov,The Times,GB,2047,19%,44%,9%,3%,8%,15%,1%,1%,25
15–18 Mar,Deltapoll,,GB,2072,23%,46%,9%,2%,5%,12%,–,3%,23
17 Mar,Redfield & Wilton,,GB,2000,21%,47%,8%,3%,6%,14%,–,1%,26
15–17 Mar,Savanta,The Telegraph,UK,2133,26%,44%,9%,3%,4%,11%,–,4%,18
14–15 Mar,Labour Together,,GB,1270,24%,42%,10%,3%,7%,–,—,13%,18
14–15 Mar,We Think,,GB,1270,25%,43%,10%,2%,6%,12%,–,2%,18
13–14 Mar,Techne,,GB,1624,22%,44%,11%,3%,5%,12%,–,3%,22
11–14 Mar,Survation,,UK,1043,26%,45%,11%,2%,3%,8%,–,5%,19
12–13 Mar,YouGov,The Times,GB,2047,20%,44%,9%,3%,7%,14%,1%,2%,24
8–11 Mar,More in Common,,GB,2027,27%,42%,10%,3%,6%,10%,1%,1%,15
8–11 Mar,Deltapoll,,GB,1502,27%,44%,10%,2%,4%,11%,–,2%,17
7–11 Mar,Lord Ashcroft[d],,GB,5299,23%,45%,6%,3%,8%,11%,–,5%,22
10 Mar,Redfield & Wilton,,GB,2000,24%,42%,12%,2%,5%,14%,–,1%,18
8–10 Mar,Savanta,,GB,2032,25%,43%,11%,3%,4%,9%,–,4%,18
7–8 Mar,We Think,,GB,1216,24%,43%,9%,3%,6%,13%,–,2%,19
6–8 Mar,Opinium,The Observer,UK,2054,25%,41%,10%,3%,7%,11%,–,4%,16
7 Mar,PeoplePolling,GB News,GB,1734,18%,46%,10%,4%,7%,13%,0%,2%,28
6–7 Mar,BMG,The i,GB,1541,25%,41%,10%,3%,6%,13%,–,1%,16
6–7 Mar,YouGov,The Times,GB,2053,20%,47%,9%,3%,7%,13%,1%,1%,27
6–7 Mar,Techne Archived 8 March 2024 at the Wayback Machine,,UK,1640,23%,44%,11%,3%,6%,11%,–,2%,21
1–4 Mar,Deltapoll,,GB,1500,27%,41%,9%,3%,6%,12%,–,3%,14
3 Mar,Redfield & Wilton,,GB,2000,23%,43%,10%,3%,6%,13%,–,2%,20
1–3 Mar,Savanta,,GB,2245,27%,44%,10%,3%,4%,8%,–,4%,17
29 Feb – 1 Mar,We Think,,GB,1240,23%,47%,9%,3%,5%,10%,–,3%,24
28 Feb – 1 Mar,Opinium,,UK,2050,25%,40%,10%,3%,7%,12%,–,3%,15
29 Feb,Rochdale by-election (WPB gain from Lab),Rochdale by-election (WPB gain from Lab),Rochdale by-election (WPB gain from Lab),Rochdale by-election (WPB gain from Lab),Rochdale by-election (WPB gain from Lab),Rochdale by-election (WPB gain from Lab),Rochdale by-election (WPB gain from Lab),Rochdale by-election (WPB gain from Lab),Rochdale by-election (WPB gain from Lab),Rochdale by-election (WPB gain from Lab),Rochdale by-election (WPB gain from Lab),Rochdale by-election (WPB gain from Lab),Rochdale by-election (WPB gain from Lab)
28–29 Feb,YouGov,The Times,GB,2100,20%,46%,7%,3%,7%,14%,1%,1%,26
28–29 Feb,Techne Archived 1 March 2024 at the Wayback Machine,,UK,1632,23%,44%,10%,3%,7%,10%,–,3%,21
21–28 Feb,Ipsos,Evening Standard,GB,1004,20%,47%,9%,4%,8%,8%,–,2%,27
23–27 Feb,More in Common,,GB,2075,28%,43%,10%,3%,5%,9%,–,1%,15
23–26 Feb,Deltapoll,,GB,1490,23%,44%,11%,3%,5%,10%,–,3%,21
25 Feb,Redfield & Wilton,,GB,2000,23%,43%,10%,3%,8%,12%,–,2%,20
23–25 Feb,Savanta,,GB,2097,26%,44%,10%,3%,4%,10%,–,4%,18
21–23 Feb,Opinium,The Observer,UK,2079,27%,42%,10%,3%,7%,10%,–,1%,15
22–23 Feb,We Think,,GB,1243,25%,44%,9%,3%,6%,10%,–,2%,19
21–22 Feb,Techne Archived 23 February 2024 at the Wayback Machine,,UK,1637,24%,44%,10%,3%,6%,10%,–,3%,20
20–21 Feb,YouGov,The Times,GB,2035,20%,46%,9%,4%,7%,13%,1%,1%,26
16–19 Feb,Deltapoll,,GB,1519,27%,48%,8%,3%,6%,7%,–,2%,21
18 Feb,Redfield & Wilton,,GB,2000,23%,46%,9%,3%,6%,11%,–,1%,23
16–18 Feb,Savanta,,UK,2118,28%,42%,10%,3%,4%,8%,–,5%,14
15–16 Feb,We Think,,GB,1246,26%,46%,9%,2%,6%,8%,–,2%,20
14–16 Feb,Opinium,The Observer,UK,2002,27%,43%,10%,3%,7%,9%,–,2%,16
15 Feb,Kingswood by-election and Wellingborough by-election (both Lab gain from Con),Kingswood by-election and Wellingborough by-election (both Lab gain from Con),Kingswood by-election and Wellingborough by-election (both Lab gain from Con),Kingswood by-election and Wellingborough by-election (both Lab gain from Con),Kingswood by-election and Wellingborough by-election (both Lab gain from Con),Kingswood by-election and Wellingborough by-election (both Lab gain from Con),Kingswood by-election and Wellingborough by-election (both Lab gain from Con),Kingswood by-election and Wellingborough by-election (both Lab gain from Con),Kingswood by-election and Wellingborough by-election (both Lab gain from Con),Kingswood by-election and Wellingborough by-election (both Lab gain from Con),Kingswood by-election and Wellingborough by-election (both Lab gain from Con),Kingswood by-election and Wellingborough by-election (both Lab gain from Con),Kingswood by-election and Wellingborough by-election (both Lab gain from Con)
14–15 Feb,Techne Archived 16 February 2024 at the Wayback Machine,,UK,1628,23%,42%,11%,3%,7%,11%,–,3%,19
14–15 Feb,YouGov,The Times,GB,2030,24%,44%,9%,3%,8%,11%,0%,1%,20
13–15 Feb,Survation,,UK,1020,29%,44%,9%,3%,3%,7%,–,4%,15
9–12 Feb,YouGov,WPI Strategy,GB,4014,22%,45%,9%,3%,7%,12%,–,2%,23
8–12 Feb,Deltapoll,,GB,1977,27%,45%,8%,3%,4%,10%,–,2%,18
8–12 Feb,Lord Ashcroft[d],,GB,5046,27%,43%,7%,3%,8%,10%,–,3%,16
24 Jan – 12 Feb,FindOutNow/Electoral Calculus (MRP),The Mirror,GB,18151,22%,42%,11%,4%,7%,10%,–,4%,20
11 Feb,Redfield & Wilton,,GB,2000,21%,46%,11%,3%,5%,12%,–,2%,25
9–11 Feb,Savanta,,UK,2224,29%,41%,11%,3%,3%,8%,–,4%,12
7–11 Feb,More in Common,,GB,2050,29%,40%,11%,3%,6%,10%,–,1%,11
8–9 Feb,We Think,,GB,1171,26%,42%,11%,3%,6%,10%,–,2%,16
6–9 Feb,Opinium,The Observer,UK,2050,25%,43%,11%,2%,7%,10%,–,3%,18
7–8 Feb,Techne[permanent dead link],,UK,1639,24%,44%,10%,3%,6%,10%,–,3%,20
7–8 Feb,YouGov,The Times,GB,2029,21%,46%,9%,3%,7%,12%,0%,1%,25
23 Jan – 7 Feb,Whitestone Insight,Lady McAlpine,GB,13534,20%,42%,10%,3%,8%,13%,1%,2%,22
3–5 Feb,Redfield & Wilton,,GB,5000,23%,44%,11%,3%,5%,12%,–,1%,21
2–5 Feb,Deltapoll,,GB,2004,27%,43%,10%,3%,5%,9%,–,3%,16
4 Feb,Redfield & Wilton,,GB,2000,24%,45%,9%,3%,4%,12%,0%,2%,21
1–2 Feb,We Think,,GB,1283,23%,45%,9%,3%,9%,11%,–,2%,22
31 Jan – 1 Feb,Techne Archived 2 February 2024 at the Wayback Machine,,UK,1634,23%,45%,10%,3%,6%,10%,–,3%,22
30–31 Jan,BMG,The i,GB,1505,29%,44%,11%,2%,6%,8%,–,1%,15
30–31 Jan,YouGov,The Times,GB,2008,23%,44%,9%,3%,6%,12%,1%,2%,21
30–31 Jan,Survation,,UK,810,27%,44%,11%,4%,3%,7%,–,5%,17
26–31 Jan,More in Common,,GB,3113,29%,43%,10%,3%,6%,8%,–,1%,14
29 Jan,Redfield & Wilton,,GB,2000,22%,45%,11%,3%,6%,12%,0%,1%,23
26–29 Jan,Deltapoll,,GB,2064,29%,43%,10%,2%,6%,9%,0%,2% UKIP on 1%,14
26–28 Jan,Savanta,,UK,2279,27%,46%,10%,2%,3%,9%,–,4%,19
26 Jan,We Think,,GB,1264,23%,47%,9%,2%,6%,12%,–,2%,24
23–26 Jan,Opinium,The Observer,UK,2060,27%,42%,10%,3%,6%,10%,–,1%,15
25 Jan,PeoplePolling,GB News,GB,1648,20%,45%,10%,4%,9%,12%,–,1%,25
24–25 Jan,Techne Archived 26 January 2024 at the Wayback Machine,,UK,1641,24%,44%,10%,3%,7%,9%,–,3%,20
23–24 Jan,YouGov,The Times,GB,2008,20%,47%,8%,4%,6%,13%,1%,1%,27
17–23 Jan,Ipsos,Evening Standard,GB,1003,27%,49%,7%,4%,7%,4%,–,1%,22
19–22 Jan,Deltapoll,,GB,2176,28%,45%,9%,3%,5%,8%,0%,1% UKIP on 1%,17
21 Jan,Redfield & Wilton,,GB,2000,22%,45%,11%,2%,6%,12%,1%,1%,23
19–21 Jan,Savanta,,UK,2017,29%,43%,10%,3%,4%,8%,–,4%,14
18–19 Jan,We Think,,GB,1163,23%,48%,9%,3%,5%,10%,–,2%,25
17–18 Jan,Techne Archived 29 January 2024 at the Wayback Machine,,UK,1640,25%,43%,11%,3%,6%,9%,–,3%,18
16–17 Jan,YouGov,The Times,GB,2092,20%,47%,8%,3%,7%,12%,–,2%,27
12–15 Jan,Deltapoll,,GB,2136,28%,44%,10%,3%,6%,7%,0%,2% UKIP on 1% Other on 1%,16
11–15 Jan,Lord Ashcroft[d],,GB,5149,27%,44%,6%,3%,6%,10%,1%,2%,17
14 Jan,Redfield & Wilton,,GB,2000,25%,44%,10%,3%,5%,11%,–,2%,19
12–14 Jan,Savanta,,UK,2148,27%,44%,11%,3%,4%,7%,–,4%,17
11–12 Jan,We Think,,GB,1161,23%,45%,11%,3%,5%,11%,–,2%,22
10–12 Jan,Opinium,The Observer,UK,2050,27%,41%,11%,4%,6%,10%,–,2%,14
10–11 Jan,Techne Archived 12 February 2024 at the Wayback Machine,,UK,1633,24%,44%,10%,3%,6%,10%,–,3%,20
10–11 Jan,YouGov,The Times,GB,2057,22%,45%,9%,3%,8%,10%,–,2%,23
9–11 Jan,More in Common,Times Radio,GB,2056,27%,42%,10%,3%,8%,9%,–,0%,15
7 Jan,Redfield & Wilton,,GB,2000,27%,43%,10%,3%,5%,11%,–,2%,16
5–7 Jan,Savanta,,UK,2268,26%,45%,10%,3%,5%,8%,–,4%,19
4–5 Jan,We Think,,GB,1226,25%,47%,9%,2%,5%,10%,–,2%,22
12 Dec – 4 Jan,YouGov (MRP)[c],Conservative Britain Alliance[9],GB,14110,26%,39.5%,12.5%,3%,7.5%,9%,–,2.5%,13.5
2–3 Jan,YouGov,The Times,GB,2016,22%,46%,10%,3%,7%,9%,–,2%,24
,,,,,,,,,,,,,
