Polling firm,Last date of polling[a],Link,CPC,LPC,NDP,BQ,GPC,PPC,Others[e],Margin of error[b],Sample size[c],Polling method[d],Lead
Leger,"June 7, 2020",[305],25,46,15,7,6,—N/a,1,±2.51 pp,1523,online,21
Nanos Research,"June 5, 2020",[171],25.5,35.8,16.7,8.1,8.3,4.7,—N/a,±3.1 pp,"1,000 (1/4)",telephone (rolling),10.3
Innovative Research,"June 1, 2020",[306],28,42,12,7,7,—N/a,4,—N/a,2246,online,14
Leger,"May 31, 2020",[307],27,40,18,7,7,—N/a,2,±2.50 pp,1536,online,13
Abacus Data,"May 29, 2020",Twitter,29,39,15,7,7,—N/a,—N/a,—N/a,1800,online,10
Leger,"May 25, 2020",[308],27,41,15,7,6,—N/a,2,±2.52 pp,1510,online,14
Angus Reid,"May 24, 2020",[309],31,37,17,7,5,—N/a,3,±1.4 pp,5001,online,6
Nanos Research,"May 22, 2020",[171],26.2,35.3,19.3,6.6,7.5,4.6,—N/a,±3.1 pp,"1,000 (1/4)",telephone (rolling),9.1
Leger,"May 17, 2020",[310],25,44,15,7,7,—N/a,2,±2.52 pp,1513,online,19
Abacus Data,"May 17, 2020",[311],31,39,16,7,6,—N/a,—N/a,±2.3 pp,1800,online,8
Nanos Research,"May 15, 2020",[171],26.3,36.7,18.4,6.7,7.2,4.1,—N/a,±3.1 pp,"1,000 (1/4)",telephone (rolling),10.4
Leger,"May 10, 2020",[312],28,41,17,7,6,—N/a,1,±2.51 pp,1526,online,13
Nanos Research,"May 8, 2020",[171],26.1,36.9,19.2,6.1,8.0,3.2,—N/a,±3.1 pp,"1,000 (1/4)",telephone (rolling),10.8
Mainstreet Research,"May 7, 2020",[313],29.4,43.3,11.5,5.8,5.9,3.0,1.1,±2.6 pp,1404,IVR,13.9
EKOS,"May 7, 2020",[314],28.3,42.7,10.6,6.7,6.7,3.3,1.7,±1.4 pp,5276,IVR,14.4
Innovative Research,"May 5, 2020",[315],28,41,13,6,7,—N/a,3,—N/a,2699,online,13
Research Co.,"May 3, 2020",[316],30,39,17,5,7,1,1,±3.1 pp,1000,online,9
Leger,"May 3, 2020",[317],25,44,15,7,6,—N/a,2,±2.51 pp,1526,online,19
Nanos Research,"May 1, 2020",[171],25.8,36.9,19.0,5.8,8.4,3.6,—N/a,±3.1 pp,"1,000 (1/4)",telephone (rolling),11.1
Leger,"April 26, 2020",[318],28,43,14,7,6,—N/a,2,±2.51 pp,1515,online,15
Abacus Data,"April 24, 2020",Twitter,30,38,16,8,6,—N/a,—N/a,—N/a,2481,online,8
Nanos Research,"April 24, 2020",[171],26.2,38.2,17.0,6.9,8.0,3.4,—N/a,±3.1 pp,"1,000 (1/4)",telephone (rolling),12.0
Leger,"April 19, 2020",[319],29,42,14,8,5,—N/a,2,±2.53 pp,1504,online,13
Angus Reid,"April 17, 2020",[320],33,36,17,8,4,—N/a,3,±2.2 pp,1912,online,3
Nanos Research,"April 17, 2020",[171],26.4,38.3,17.4,7.2,7.0,2.8,—N/a,±3.1 pp,"1,000 (1/4)",telephone (rolling),11.9
Leger,"April 12, 2020",[321],28,39,18,6,8,—N/a,2,±2.52 pp,1508,online,11
Nanos Research,"April 10, 2020",[171],28.4,38.1,15.7,8.1,6.7,2.0,—N/a,±3.1 pp,"1,000 (1/4)",telephone (rolling),9.7
Nanos Research,"April 3, 2020",[171],29.1,38.9,14.8,8.4,6.5,1.1,—N/a,±3.1 pp,"1,000 (1/4)",telephone (rolling),9.8
Innovative Research,"April 2, 2020",[322] [f],27,40,15,8,7,2,1,—N/a,2059,online,13
Nanos Research,"March 27, 2020",[171],30.9,36.1,16.6,7.0,7.0,0.8,—N/a,±3.1 pp,"1,000 (1/4)",telephone (rolling),5.2
EKOS,"March 26, 2020",[323],28.6,40.4,12.2,8.6,5.9,2.2,2.1,±2.0 pp,2304,IVR,11.8
Nanos Research,"March 20, 2020",[171],32.5,34.8,17.4,6.0,7.0,1.3,—N/a,±3.1 pp,"1,000 (1/4)",telephone (rolling),2.3
Mainstreet Research,"March 17, 2020",[324],32.2,38.6,11.1,8.8,5.7,1.7,1.9,±2.4 pp,1665,IVR,6.4
Nanos Research,"March 13, 2020",[171],29.5,37.0,17.6,5.9,7.4,1.8,—N/a,±3.1 pp,"1,000 (1/4)",telephone (rolling),7.5
Nanos Research,"March 6, 2020",[171],32.4,34.8,17.1,5.8,7.4,1.8,—N/a,±3.1 pp,"1,000 (1/4)",telephone (rolling),2.4
Leger,"March 2, 2020",[325],30,32,20,8,8,—N/a,2,±2.50 pp,1540,online,2
Angus Reid,"February 28, 2020",[326],34,26,21,9,7,—N/a,3,±1.4 pp,5043,online,8
Nanos Research,"February 28, 2020",[171],35.1,35.3,15.0,5.9,6.5,1.6,—N/a,±3.1 pp,"1,000 (1/4)",telephone (rolling),0.2
Campaign Research,"February 26, 2020",[327],30,30,19,8,11,—N/a,3,±2.5 pp,1606,online,0
Nanos Research,"February 21, 2020",[171],36.2,33.0,15.4,6.8,6.6,1.4,—N/a,±3.1 pp,"1,000 (1/4)",telephone (rolling),3.2
Nanos Research,"February 14, 2020",[171],36.1,32.7,15.5,7.1,7.0,1.1,—N/a,±3.1 pp,"1,000 (1/4)",telephone (rolling),3.4
Nanos Research,"February 7, 2020",[171],35.5,33.4,13.7,7.8,8.0,1.0,—N/a,±3.1 pp,"1,000 (1/4)",telephone (rolling),2.1
Nanos Research,"January 31, 2020",[171],33.1,33.2,16.4,7.7,7.9,1.1,—N/a,±3.1 pp,"1,000 (1/4)",telephone (rolling),0.1
Leger,"January 30, 2020",[328],32,34,19,7,7,—N/a,1,±2.53 pp,1501,online,2
Nanos Research,"January 24, 2020",[171],31.0,33.8,16.7,8.3,8.9,0.9,—N/a,±3.1 pp,"1,000 (1/4)",telephone (rolling),2.8
Leger,"January 21, 2020",[329],32,31,19,8,8,—N/a,2,±2.49 pp,1552,online,1
Abacus Data,"January 17, 2020",[330],30,34,17,6,8,3,2,±2.5 pp,1500,online,4
Mainstreet Research,"January 17, 2020",[331],32.4,39.8,10.6,6.6,5.4,2.8,2.4,±2.55 pp,1470,IVR,7.4
Nanos Research,"January 17, 2020",[171],30.8,34.1,16.4,8.1,8.6,1.2,—N/a,±3.1 pp,"1,000 (1/4)",telephone (rolling),3.3
Nanos Research,"January 10, 2020",[171],31.5,32.2,17.8,8.1,8.1,1.7,—N/a,±3.1 pp,"1,000 (1/4)",telephone (rolling),0.7
Leger,"January 7, 2020",[332],31,34,18,7,8,—N/a,2,±2.49 pp,1554,online,3
Nanos Research,"January 3, 2020",[171],31.3,33.7,17.0,7.1,8.8,1.4,—N/a,±3.1 pp,"1,000 (1/4)",telephone (rolling),2.4
Nanos Research,"December 27, 2019",[171],31.4,34.7,16.4,6.3,8.8,1.7,—N/a,±3.1 pp,"1,000 (1/4)",telephone (rolling),3.3
Nanos Research,"December 20, 2019",[171],29.6,34.7,17.7,6.0,9.8,1.4,—N/a,±3.1 pp,"1,000 (1/4)",telephone (rolling),5.1
Abacus Data,"December 16, 2019",[333],30,33,18,7,8,2,2,±2.1 pp,1500,online,3
Angus Reid,"December 15, 2019",[334],33,30,19,8,7,—N/a,3,±2.0 pp,2011,online,3
Nanos Research,"December 13, 2019",[171],30.5,33.8,18.7,5.0,10.2,0.9,—N/a,±3.1 pp,"1,000 (1/4)",telephone (rolling),3.3
,"December 12, 2019",Andrew Scheer announces his intention to resign as the leader of the Conservative Party,Andrew Scheer announces his intention to resign as the leader of the Conservative Party,Andrew Scheer announces his intention to resign as the leader of the Conservative Party,Andrew Scheer announces his intention to resign as the leader of the Conservative Party,Andrew Scheer announces his intention to resign as the leader of the Conservative Party,Andrew Scheer announces his intention to resign as the leader of the Conservative Party,Andrew Scheer announces his intention to resign as the leader of the Conservative Party,Andrew Scheer announces his intention to resign as the leader of the Conservative Party,Andrew Scheer announces his intention to resign as the leader of the Conservative Party,Andrew Scheer announces his intention to resign as the leader of the Conservative Party,Andrew Scheer announces his intention to resign as the leader of the Conservative Party,Andrew Scheer announces his intention to resign as the leader of the Conservative Party
EKOS,"December 10, 2019",[335],29.6,31.1,16.8,5.8,9.8,4.2,2.7,±2.0 pp,2339,IVR,1.5
Nanos Research,"December 6, 2019",[171],31.0,33.6,17.5,6.7,9.8,0.6,—N/a,±3.1 pp,"1,000 (1/4)",telephone (rolling),2.6
Nanos Research,"November 29, 2019",[171],31.3,34.1,17.1,6.4,9.5,0.8,—N/a,±3.1 pp,"1,000 (1/4)",telephone (rolling),2.8
Leger,"November 25, 2019",[336],30,32,19,7,7,3,1,±1.78 pp,3040,online,2
Nanos Research,"November 22, 2019",[171],30.9,33.7,17.2,6.8,9.3,1.4,—N/a,±3.1 pp,"1,000 (1/4)",telephone (rolling),2.8
Nanos Research,"November 15, 2019",[171],30.8,32.8,19.0,7.6,7.3,1.9,—N/a,±3.1 pp,"1,000 (1/4)",telephone (rolling),2.0
Nanos Research,"November 8, 2019",[171],31.3,31.8,19.9,6.9,7.6,2.1,—N/a,±3.1 pp,"1,000 (1/4)",telephone (rolling),0.5
,"November 4, 2019",Jo-Ann Roberts is named interim leader of the Green Party,Jo-Ann Roberts is named interim leader of the Green Party,Jo-Ann Roberts is named interim leader of the Green Party,Jo-Ann Roberts is named interim leader of the Green Party,Jo-Ann Roberts is named interim leader of the Green Party,Jo-Ann Roberts is named interim leader of the Green Party,Jo-Ann Roberts is named interim leader of the Green Party,Jo-Ann Roberts is named interim leader of the Green Party,Jo-Ann Roberts is named interim leader of the Green Party,Jo-Ann Roberts is named interim leader of the Green Party,Jo-Ann Roberts is named interim leader of the Green Party,Jo-Ann Roberts is named interim leader of the Green Party
Nanos Research,"November 1, 2019",[171],32.5,31.1,19.0,6.7,8.5,1.8,—N/a,±3.1 pp,"1,000 (1/4)",telephone (rolling),1.4
Nanos Research,"October 25, 2019",[171],32.5,31.7,20.8,7.2,6.0,1.5,—N/a,±3.1 pp,1000,telephone (rolling),0.8
,,,,,,,,,,,,,
2019 election[g],"October 21, 2019",HTML,34.3,33.1,16.0,7.6,6.5,1.6,0.9,—N/a,18170880,—N/a,1.2
Polling firm,Last date of polling[a],Link,,,,,,,Others[e],Margin of error[b],Sample size[c],Polling method[d],Lead
Polling firm,Last date of polling[a],Link,CPC,LPC,NDP,BQ,GPC,PPC,Others[e],Margin of error[b],Sample size[c],Polling method[d],Lead
