Polling firm,Last date of polling[1],Link,LPC,CPC,NDP,BQ,GPC,PPC[5],Margin of error[2],Sample size[3],Polling method[4],Lead
Nanos Research,"January 5, 2018",[328],40.9,30.7,19.5,3.7,4.8,,±3.1 pp,"1,000 (1/4)",telephone (rolling),10.2
Nanos Research,"December 29, 2017",[329],41.6,30.1,20.1,3.5,4.2,,±3.1 pp,"1,000 (1/4)",telephone (rolling),11.5
Nanos Research,"December 22, 2017",[330],42.8,29.1,20.0,3.3,4.2,,±3.1 pp,"1,000 (1/4)",telephone (rolling),13.7
Nanos Research,"December 15, 2017",[331],41.9,29.3,19.1,3.4,5.7,,±3.1 pp,"1,000 (1/4)",telephone (rolling),12.6
Forum Research,"December 14, 2017",[332],38,39,12,5,5,,±3 pp,1284,IVR,1
Ipsos,"December 14, 2017",[333],38,31,20,5,,,±2.4 pp,2098,online,7
Nanos Research,"December 8, 2017",[334],40.7,30.3,17.5,3.8,6.7,,±3.1 pp,"1,000 (1/4)",telephone (rolling),10.4
Nanos Research,"December 1, 2017",[335],40.1,30.7,16.5,4.2,6.9,,±3.1 pp,"1,000 (1/4)",telephone (rolling),9.4
Leger,"November 30, 2017",[336],40,34,13,4,8,,±2.4 pp,1609,online,6
Nanos Research,"November 24, 2017",[337],38.8,30.6,17.2,4.4,6.9,,±3.1 pp,"1,000 (1/4)",telephone (rolling),8.2
Nanos Research,"November 17, 2017",[338],39.3,30.7,16.6,5.0,7.0,,±3.1 pp,"1,000 (1/4)",telephone (rolling),8.6
Abacus Data,"November 14, 2017",[339],40,32,18,4,6,,±2.6 pp,1500,online,8
Nanos Research,"November 10, 2017",[340],38.3,30.9,17.5,5.3,6.0,,±3.1 pp,"1,000 (1/4)",telephone (rolling),7.4
Campaign Research,"November 9, 2017",[341],38,30,19,5,7,,±1.9 pp,2616,online,8
Forum Research,"November 6, 2017",[342],36,38,14,6,6,,±3 pp,1281,IVR,2
Nanos Research,"November 3, 2017",[343],36.6,29.6,19.0,5.9,6.4,,±3.1 pp,"1,000 (1/4)",telephone (rolling),7.0
Nanos Research,"October 27, 2017",[344],36.1,29.6,18.5,6.1,6.6,,±3.1 pp,"1,000 (1/4)",telephone (rolling),6.5
Insights West,"October 26, 2017",[345],35,33,20,4,7,,±3.1 pp,1005,online,2
Ipsos,"October 25, 2017",[346],38,30,23,4,,,±3.5 pp,1001,online,8
Leger,"October 25, 2017",[347],42,30,15,4,7,,±2.5 pp,1534,online,12
Abacus Data,"October 23, 2017",[348],39,35,15,5,5,,±2.6 pp,1500,online,4
Nanos Research,"October 20, 2017",[349],35.0,30.8,17.7,6.3,6.9,,±3.1 pp,"1,000 (1/4)",telephone (rolling),4.2
Environics,"October 16, 2017",[350],38,30,20,5,7,,,2000,online,8
Nanos Research,"October 13, 2017",[351],34.6,31.3,16.3,7.2,7.3,,±3.1 pp,"1,000 (1/4)",telephone (rolling),3.3
Angus Reid,"October 12, 2017",[352],35,35,18,4,6,,±2.5 pp,1492,online,0
Campaign Research,"October 11, 2017",[353],38,30,19,4,8,,±2.2 pp,2002,online,8
Nanos Research,"October 6, 2017",[354],36.9,32.0,15.4,6.6,5.6,,±3.1 pp,"1,000 (1/4)",telephone (rolling),4.9
Angus Reid,"October 4, 2017",[355],37,36,14,4,8,,±2.5 pp,1477,online,1
"Jagmeet Singh is elected leader of the New Democratic Party (October 1, 2017)","Jagmeet Singh is elected leader of the New Democratic Party (October 1, 2017)","Jagmeet Singh is elected leader of the New Democratic Party (October 1, 2017)","Jagmeet Singh is elected leader of the New Democratic Party (October 1, 2017)","Jagmeet Singh is elected leader of the New Democratic Party (October 1, 2017)","Jagmeet Singh is elected leader of the New Democratic Party (October 1, 2017)","Jagmeet Singh is elected leader of the New Democratic Party (October 1, 2017)","Jagmeet Singh is elected leader of the New Democratic Party (October 1, 2017)","Jagmeet Singh is elected leader of the New Democratic Party (October 1, 2017)","Jagmeet Singh is elected leader of the New Democratic Party (October 1, 2017)","Jagmeet Singh is elected leader of the New Democratic Party (October 1, 2017)","Jagmeet Singh is elected leader of the New Democratic Party (October 1, 2017)","Jagmeet Singh is elected leader of the New Democratic Party (October 1, 2017)"
EKOS,"October 1, 2017",[356],34.4,33.3,14.5,4.5,8.9,,±1.4 pp,4839,IVR,1.1
Nanos Research,"September 29, 2017",[357],38.1,31.2,15.2,6.3,6.7,,±3.1 pp,"1,000 (1/4)",telephone (rolling),6.9
Ipsos,"September 27, 2017",[358],39,32,20,5,,,±3.5 pp,1001,online,7
Nanos Research,"September 22, 2017",[359],38.5,32.5,14.6,6.1,5.7,,±3.1 pp,"1,000 (1/4)",telephone (rolling),6.0
Nanos Research,"September 15, 2017",[360],40.9,30.0,15.5,6.0,5.5,,±3.1 pp,"1,000 (1/4)",telephone (rolling),10.9
Forum Research,"September 14, 2017",[361],35,39,15,5,4,,±3 pp,1350,IVR,4
Campaign Research,"September 11, 2017",[362],42,30,16,5,6,,±2.3 pp,1770,online,12
Nanos Research,"September 8, 2017",[363],42.0,30.1,15.9,4.6,5.9,,±3.1 pp,"1,000 (1/4)",telephone (rolling),11.9
Abacus Data,"September 3, 2017",[364],43,31,17,3,6,,±2.6 pp,1512,online,12
Nanos Research,"September 1, 2017",[365],41.2,32.0,15.7,4.9,4.7,,±3.1 pp,"1,000 (1/4)",telephone (rolling),9.2
Mainstreet Research,"August 31, 2017",[366],43,32,15,4,5,,±2.19 pp,2000,telephone,11
Nanos Research,"August 25, 2017",[367],41.9,30.8,16.4,4.3,5.0,,±3.1 pp,"1,000 (1/4)",telephone (rolling),11.1
Nanos Research,"August 18, 2017",[368],39.4,31.0,18.2,5.1,4.9,,±3.1 pp,"1,000 (1/4)",telephone (rolling),8.4
Forum Research,"August 17, 2017",[369],42,35,14,4,4,,±3 pp,1150,IVR,7
Nanos Research,"August 11, 2017",[370],37.8,31.1,19.2,5.2,5.4,,±3.1 pp,"1,000 (1/4)",telephone (rolling),6.7
Nanos Research,"August 4, 2017",[371],37.5,29.3,20.2,6.4,5.4,,±3.1 pp,"1,000 (1/4)",telephone (rolling),8.2
Nanos Research,"July 28, 2017",[372],36.7,29.1,20.0,5.8,6.8,,±3.1 pp,"1,000 (1/4)",telephone (rolling),7.6
Nanos Research,"July 21, 2017",[373],39.0,30.3,18.4,4.2,6.2,,±3.1 pp,"1,000 (1/4)",telephone (rolling),8.7
Abacus Data,"July 18, 2017",[374],43,31,16,3,5,,±2.2 pp,2036,online,12
Nanos Research,"July 14, 2017",[375],38.3,31.2,16.2,5.9,6.1,,±3.1 pp,"1,000 (1/4)",telephone (rolling),7.1
Campaign Research,"July 10, 2017",[376],40,31,19,4,5,,±2 pp,1540,online,9
Nanos Research,"July 7, 2017",[377],39.8,33.0,13.6,5.3,6.4,,±3.1 pp,"1,000 (1/4)",telephone (rolling),6.8
Nanos Research,"June 30, 2017",[378],38.9,31.6,14.0,6.3,7.6,,±3.1 pp,"1,000 (1/4)",telephone (rolling),7.3
Nanos Research,"June 23, 2017",[379],38.3,31.1,15.7,6.8,6.2,,±3.1 pp,"1,000 (1/4)",telephone (rolling),7.2
EKOS,"June 19, 2017",[380],35.3,33.0,15.2,3.7,8.5,,±1.3 pp,5658,IVR,2.3
Nanos Research,"June 16, 2017",[381],37.5,30.9,16.5,6.7,6.5,,±3.1 pp,"1,000 (1/4)",telephone (rolling),6.6
Campaign Research,"June 12, 2017",[382],39,30,19,5,7,,±2 pp,2767,online,9
Angus Reid,"June 12, 2017",[383],37,34,17,4,6,,±2 pp,5406,online,3
Nanos Research,"June 9, 2017",[384],36.8,30.5,17.3,6.1,7.1,,±3.1 pp,"1,000 (1/4)",telephone (rolling),6.3
Forum Research,"June 8, 2017",[385],42,34,12,5,6,,±3 pp,1483,IVR,8
Nanos Research,"June 2, 2017",[386],40.0,28.1,16.5,6.2,7.3,,±3.1 pp,"1,000 (1/4)",telephone (rolling),11.9
Angus Reid,"May 31, 2017",[387],40,33,16,4,6,,±2.2 pp,1958,online,7
Mainstreet Research,"May 29, 2017",[388],41,33,17,4,5,,±1.85 pp,2800,IVR,8
"Andrew Scheer is elected leader of the Conservative Party of Canada (May 27, 2017)","Andrew Scheer is elected leader of the Conservative Party of Canada (May 27, 2017)","Andrew Scheer is elected leader of the Conservative Party of Canada (May 27, 2017)","Andrew Scheer is elected leader of the Conservative Party of Canada (May 27, 2017)","Andrew Scheer is elected leader of the Conservative Party of Canada (May 27, 2017)","Andrew Scheer is elected leader of the Conservative Party of Canada (May 27, 2017)","Andrew Scheer is elected leader of the Conservative Party of Canada (May 27, 2017)","Andrew Scheer is elected leader of the Conservative Party of Canada (May 27, 2017)","Andrew Scheer is elected leader of the Conservative Party of Canada (May 27, 2017)","Andrew Scheer is elected leader of the Conservative Party of Canada (May 27, 2017)","Andrew Scheer is elected leader of the Conservative Party of Canada (May 27, 2017)","Andrew Scheer is elected leader of the Conservative Party of Canada (May 27, 2017)","Andrew Scheer is elected leader of the Conservative Party of Canada (May 27, 2017)"
Nanos Research,"May 26, 2017",[389],40.3,28.6,16.7,5.7,7.2,,±3.1 pp,"1,000 (1/4)",telephone (rolling),11.7
Nanos Research,"May 19, 2017",[390],42.1,27.9,16.2,5.2,7.4,,±3.1 pp,"1,000 (1/4)",telephone (rolling),14.2
Leger,"May 18, 2017",[391],46,25,16,5,6,,±2.5 pp,1529,online,21
Mainstreet Research,"May 15, 2017",[392],41,31,18,5,5,,±1.85 pp,2800,IVR,10
Campaign Research,"May 13, 2017",[393],43,27,19,3,7,,±2 pp,1969,online,16
Abacus Data,"May 12, 2017",[394],43,27,20,4,5,,±2.9 pp,1182,online,16
Nanos Research,"May 12, 2017",[395],42.8,28.1,15.9,6.0,5.6,,±3.1 pp,"1,000 (1/4)",telephone (rolling),14.7
Nanos Research,"May 5, 2017",[396],41.8,29.0,18.8,5.1,4.1,,±3.1 pp,"1,000 (1/4)",telephone (rolling),12.8
Nanos Research,"April 28, 2017",[397],43.0,29.6,18.5,4.4,3.6,,±3.1 pp,"1,000 (1/4)",telephone (rolling),13.4
Forum Research,"April 24, 2017",[398],35,35,17,5,7,,±3 pp,1479,IVR,0
Nanos Research,"April 21, 2017",[399],42.0,30.4,19.0,4.0,2.9,,±3.1 pp,"1,000 (1/4)",telephone (rolling),11.6
Nanos Research,"April 14, 2017",[400],41.4,32.4,18.7,3.4,3.1,,±3.1 pp,"1,000 (1/4)",telephone (rolling),9.0
Campaign Research,"April 11, 2017",[401],38,29,19,6,6,,±2 pp,1970,online,9
Nanos Research,"April 7, 2017",[402],40.3,32.6,18.0,4.0,3.5,,±3.1 pp,"1,000 (1/4)",telephone (rolling),7.7
Nanos Research,"March 31, 2017",[403],40.6,29.6,18.4,5.2,4.6,,±3.1 pp,"1,000 (1/4)",telephone (rolling),11.0
Ipsos,"March 30, 2017",[404],39,32,20,5,,,±3.5 pp,1001,online,7
Nanos Research,"March 24, 2017",[405],42.5,29.2,16.1,4.8,5.2,,±3.1 pp,"1,000 (1/4)",telephone (rolling),13.3
Forum Research,"March 23, 2017",[406],36,38,15,6,4,,±3 pp,1029,IVR,2
"Martine Ouellet is acclaimed leader of the Bloc Québécois (March 18, 2017)","Martine Ouellet is acclaimed leader of the Bloc Québécois (March 18, 2017)","Martine Ouellet is acclaimed leader of the Bloc Québécois (March 18, 2017)","Martine Ouellet is acclaimed leader of the Bloc Québécois (March 18, 2017)","Martine Ouellet is acclaimed leader of the Bloc Québécois (March 18, 2017)","Martine Ouellet is acclaimed leader of the Bloc Québécois (March 18, 2017)","Martine Ouellet is acclaimed leader of the Bloc Québécois (March 18, 2017)","Martine Ouellet is acclaimed leader of the Bloc Québécois (March 18, 2017)","Martine Ouellet is acclaimed leader of the Bloc Québécois (March 18, 2017)","Martine Ouellet is acclaimed leader of the Bloc Québécois (March 18, 2017)","Martine Ouellet is acclaimed leader of the Bloc Québécois (March 18, 2017)","Martine Ouellet is acclaimed leader of the Bloc Québécois (March 18, 2017)","Martine Ouellet is acclaimed leader of the Bloc Québécois (March 18, 2017)"
Stratcom,"March 17, 2017",[407],44,29,16,4,6,,±2.2 pp,2029,online,15
Nanos Research,"March 17, 2017",[408],41.9,28.5,17.1,4.7,5.2,,±3.1 pp,"1,000 (1/4)",telephone (rolling),13.4
Nanos Research,"March 10, 2017",[409],41.4,28.1,17.0,4.9,6.0,,±3.1 pp,"1,000 (1/4)",telephone (rolling),13.3
Campaign Research,"March 7, 2017",[410],43,27,16,6,5,,±3 pp,1886,online/IVR,16
Nanos Research,"March 3, 2017",[411],39.6,30.5,17.2,5.0,5.1,,±3.1 pp,"1,000 (1/4)",telephone (rolling),9.1
Forum Research,"February 26, 2017",[412],39,35,15,7,4,,±3 pp,1340,IVR,4
Nanos Research,"February 24, 2017",[413],38.9,31.0,16.8,5.4,5.2,,±3.1 pp,"1,000 (1/4)",telephone (rolling),7.9
Abacus Data,"February 19, 2017",[414],40,33,16,4,6,,±2.6 pp,1500,online,7
Nanos Research,"February 17, 2017",[415],39.3,29.6,16.9,6.3,5.7,,±3.1 pp,"1,000 (1/4)",telephone (rolling),9.7
Nanos Research,"February 10, 2017",[416],37.9,32.9,16.9,4.8,5.3,,±3.1 pp,"1,000 (1/4)",telephone (rolling),5.0
Campaign Research,"February 6, 2017",[417],34,34,16,6,6,,±3 pp,1457,IVR,0
Nanos Research,"February 3, 2017",[418],38.0,32.5,16.4,4.9,5.9,,±3.1 pp,"1,000 (1/4)",telephone (rolling),5.5
Nanos Research,"January 27, 2017",[419],39.1,32.1,16.3,5.1,5.5,,±3.1 pp,"1,000 (1/4)",telephone (rolling),7.0
Ipsos,"January 25, 2017",[420],41,30,19,5,,,±3.5 pp,1000,online,11
Forum Research,"January 21, 2017",[421],42,36,12,4,5,,±3 pp,1332,IVR,6
Nanos Research,"January 20, 2017",[422],39.4,31.2,16.3,5.1,5.9,,±3.1 pp,"1,000 (1/4)",telephone (rolling),8.2
Nanos Research,"January 13, 2017",[423],41.4,28.4,16.2,6.1,6.1,,±3.1 pp,"1,000 (1/4)",telephone (rolling),13.0
Nanos Research,"January 6, 2017",[424],43.0,28.5,16.2,5.2,5.4,,±3.1 pp,"1,000 (1/4)",telephone (rolling),14.5
Nanos Research,"December 30, 2016",[425],43.0,27.9,16.7,5.5,5.9,,±3.1 pp,"1,000 (1/4)",telephone (rolling),15.1
Nanos Research,"December 23, 2016",[426],42.0,28.3,16.9,5.6,5.6,,±3.1 pp,"1,000 (1/4)",telephone (rolling),13.7
Nanos Research,"December 16, 2016",[427],43.6,27.4,16.7,4.9,5.6,,±3.1 pp,"1,000 (1/4)",telephone (rolling),16.2
Abacus Data,"December 14, 2016",[428],44,30,16,4,5,,±2.3 pp,1848,online,14
Nanos Research,"December 9, 2016",[429],43.2,26.7,16.5,5.4,6.0,,±3.1 pp,"1,000 (1/4)",telephone (rolling),16.5
Forum Research,"December 7, 2016",[430],42,34,12,5,6,,±3 pp,1304,IVR,8
Nanos Research,"December 2, 2016",[431],42.9,26.0,17.4,4.8,6.8,,±3.1 pp,"1,000 (1/4)",telephone (rolling),16.9
Nanos Research,"November 25, 2016",[432],44.7,25.1,17.9,4.4,6.4,,±3.1 pp,"1,000 (1/4)",telephone (rolling),19.6
EKOS,"November 22, 2016",[433],41.2,31.2,13.0,2.4,8.2,,±2.2 pp,1949,IVR,10.0
Nanos Research,"November 18, 2016",[434],42.9,28.7,16.0,5.6,5.6,,±3.1 pp,"1,000 (1/4)",telephone (rolling),14.2
Abacus Data,"November 13, 2016",[435],46,25,17,5,7,,±2.1 pp,2200,online,21
Nanos Research,"November 11, 2016",[436],46.3,26.2,15.4,4.3,6.2,,±3.1 pp,"1,000 (1/4)",telephone (rolling),20.1
Forum Research,"November 10, 2016",[437],51,28,11,4,5,,±3 pp,1474,IVR,23
Mainstreet Research,"November 6, 2016",[438],49,29,13,4,5,,±1.38 pp,5066,IVR,20
Nanos Research,"November 4, 2016",[439],44.9,29.6,13.8,5.5,5.5,,±3.1 pp,"1,000 (1/4)",telephone (rolling),15.3
Nanos Research,"October 28, 2016",[440],44.5,29.6,13.3,5.3,6.0,,±3.1 pp,"1,000 (1/4)",telephone (rolling),14.9
Nanos Research,"October 21, 2016",[441],46.6,27.5,13.9,4.0,6.8,,±3.1 pp,"1,000 (1/4)",telephone (rolling),19.1
EKOS,"October 18, 2016",[442],46.6,26.4,14.1,3.3,7.8,,±2.4 pp,1622,online/telephone,20.2
Nanos Research,"October 14, 2016",[443],46.3,26.2,15.4,4.3,6.2,,±3.1 pp,"1,000 (1/4)",telephone (rolling),20.1
Forum Research,"October 12, 2016",[444],49,30,12,5,4,,±3 pp,1437,IVR,19
Abacus Data,"October 12, 2016",[445],45,28,14,5,6,,±2.6 pp,1498,online,17
Nanos Research,"October 7, 2016",[446],45.9,25.9,16.2,4.3,5.7,,±3.1 pp,"1,000 (1/4)",telephone (rolling),20.0
Nanos Research,"September 30, 2016",[447],45.8,26.2,16.7,4.5,5.0,,±3.1 pp,1000,telephone (rolling),19.6
Forum Research,"September 21, 2016",[448],47,34,9,6,3,,±3 pp,1326,IVR,13
Mainstreet Research,"September 8, 2016",[449],51,29,12,4,4,,±1.35 pp,5250,IVR,22
Forum Research,"September 7, 2016",[450],48,30,11,5,4,,±3 pp,1370,IVR,18
Leger,"September 1, 2016",[451],53,25,12,4,5,,±2.5 pp,1535,online,28
Abacus Data,"August 25, 2016",[452],46,28,16,4,5,,±2.2 pp,2010,online,18
Forum Research,"August 6, 2016",[453],50,31,10,4,4,,±3 pp,1345,IVR,19
EKOS,"July 14, 2016",[454],45.6,28.5,15.5,2.8,5.9,,±3.1 pp,1003,online/telephone,17.1
Forum Research,"July 5, 2016",[455],52,28,11,5,3,,±3 pp,1429,IVR,24
Abacus Data,"June 16, 2016",[456],44,28,16,5,6,,±2.6 pp,1500,online,16
Forum Research,"June 7, 2016",[457],49,32,10,4,4,,±2 pp,2271,IVR,17
EKOS,"June 7, 2016",[458],44.7,26.9,12.4,4.1,7.8,,±2.0 pp,2371,IVR,17.8
Ipsos,"May 24, 2016",[459],46,30,15,4,,,±3.5 pp,1002,online,16
Abacus Data,"May 20, 2016",[460],46,27,15,4,7,,±2.2 pp,2000,online,19
Forum Research,"May 11, 2016",[461],52,29,11,4,3,,±3 pp,1517,IVR,23
Mainstreet Research,"April 27, 2016",[462],49,30,14,3,4,,±1.39 pp,4998,IVR,19
Nanos Research,"April 22, 2016",[463],43.2,25.8,19.3,4.2,5.5,,±3.1 pp,1000,telephone,17.4
Mainstreet Research,"April 15, 2016",[464],48,30,14,3,5,,±1.38 pp,5012,IVR,18
EKOS,"April 15, 2016",[465],44.1,28.5,12.0,4.4,6.7,,±2.9 pp,1176,IVR,15.6
Abacus Data,"April 13, 2016",[466],49,26,13,5,5,,±2.6 pp,1500,online,23
Forum Research,"April 5, 2016",[467],51,28,12,6,3,,±3 pp,1455,IVR,23
Innovative Research,"March 30, 2016",[468],46,30,12,5,6,,,2456,online,16
EKOS,"March 29, 2016",[469],42.1,31.7,11.7,4.8,6.4,,±2.2 pp,2019,IVR,10.4
Abacus Data,"March 23, 2016",[470],47,28,14,4,6,,±2.6 pp,1500,online,19
Abacus Data,"March 18, 2016",[471],44,29,16,4,6,,±2.6 pp,1500,online,15
Forum Research,"March 15, 2016",[472],46,34,12,4,3,,±2 pp,1567,IVR,12
Forum Research,"February 17, 2016",[473],49,32,10,3,5,,±3 pp,1406,IVR,17
Leger,"February 4, 2016",[474],49,27,15,3,5,,±2.1 pp,1524,online,22
EKOS,"January 18, 2016",[475],46.7,25.3,15.9,3.9,7.0,,±1.9 pp,2598,online/telephone,21.4
Mainstreet Research,"January 15, 2016",[476],44,32,16,3,5,,±1.39 pp,4937,IVR,12
Abacus Data,"January 12, 2016",[477],45,28,17,5,5,,±2.6 pp,1500,online,17
EKOS,"December 10, 2015",[478],46.3,27.2,15.3,3.4,6.7,,±2.2 pp,1956,online/telephone,19.1
Forum Research,"December 8, 2015",[479],46,32,13,4,4,,±3 pp,1369,IVR,14
Abacus Data,"November 25, 2015",[480],49,24,16,5,5,,±2.6 pp,1500,online,25
Forum Research,"November 17, 2015",[479],45,37,10,4,3,,±3 pp,909,IVR,8
Forum Research,"November 7, 2015",[481],55,25,12,4,3,,±3 pp,1256,IVR,30
"Rona Ambrose is named interim leader of the Conservative Party of Canada (November 5, 2015)","Rona Ambrose is named interim leader of the Conservative Party of Canada (November 5, 2015)","Rona Ambrose is named interim leader of the Conservative Party of Canada (November 5, 2015)","Rona Ambrose is named interim leader of the Conservative Party of Canada (November 5, 2015)","Rona Ambrose is named interim leader of the Conservative Party of Canada (November 5, 2015)","Rona Ambrose is named interim leader of the Conservative Party of Canada (November 5, 2015)","Rona Ambrose is named interim leader of the Conservative Party of Canada (November 5, 2015)","Rona Ambrose is named interim leader of the Conservative Party of Canada (November 5, 2015)","Rona Ambrose is named interim leader of the Conservative Party of Canada (November 5, 2015)","Rona Ambrose is named interim leader of the Conservative Party of Canada (November 5, 2015)","Rona Ambrose is named interim leader of the Conservative Party of Canada (November 5, 2015)","Rona Ambrose is named interim leader of the Conservative Party of Canada (November 5, 2015)","Rona Ambrose is named interim leader of the Conservative Party of Canada (November 5, 2015)"
,,,,,,,,,,,,
,,,,,,,,,,,,
2015 election,"October 19, 2015",[482],39.5,31.9,19.7,4.7,3.4,,,,,7.6
